distance_m,stop_id_a,stop_name_a,stop_lat_a,stop_lon_a,parent_station_a,route_types_a,stop_id_b,stop_name_b,stop_lat_b,stop_lon_b,parent_station_b,route_types_b,common_route_types
112.87148586985631,9022005001261001,Ödegårdsgatan 11,58.397189,15.652202,9021005001261000,700,9022005001392002,Braskens bro,58.397927,15.653532,9021005001392000,700,700
113.2810265698968,9022005003592001,Lingvallen,58.416047,15.603886,9021005003592000,700,9022005003849002,Abisko centrum,58.415682,15.605702,9021005003849000,700,700
113.49616759406788,9022005001358001,Loddbyvägen,58.64579,16.163795,9021005001358000,700,9022005001597001,Kvillinge vägkors,58.645472,16.161931,9021005001597000,700,700
113.56022236734296,9022005002316001,Landsborgsgatan,58.529505,15.046816,9021005002316000,700,9022005002376001,Sveavägen,58.529628,15.044874,9021005002376000,700,700
114.813955971516,9022005001237001,Ullevi,58.430021,15.584961,9021005001237000,700,9022005002528001,Lilla Ullevi,58.429746,15.586862,9021005002528000,700,700
116.20856004932365,9022005001219001,Abisko,58.41502,15.607246,9021005001219000,700,9022005003849002,Abisko centrum,58.415682,15.605702,9021005003849000,700,700
117.00021006984254,9022005000043002,Berga Söderleden,58.393096,15.645807,9021005000043000,700,9022005001430002,Berga centrum,58.393004,15.643807,9021005001430000,700,700
120.10907961840088,9022005000423001,Anders Ljungstedts gy.,58.415117,15.637614,9021005000423000,700,9022005001458002,Stångebro,58.416167,15.63713,9021005001458000,700,700
120.92301704668138,9022005000257003,Östantorp,58.19046,16.011928,9021005000257000,700,9022005003435001,Koppargården,58.189489,16.012857,9021005003435000,700,700
122.30870794793955,9022005000043001,Berga Söderleden,58.392737,15.645843,9021005000043000,700,9022005001430002,Berga centrum,58.393004,15.643807,9021005001430000,700,700
123.15486467701976,9022005000234002,Teknikringen,58.393272,15.568229,9021005000234000,700,9022005003847001,Forskningsbyn,58.394248,15.56723,9021005003847000,700,700
