distance_m,stop_id_a,stop_name_a,stop_lat_a,stop_lon_a,parent_station_a,route_types_a,route_short_names_a,stop_sequences_by_route_a,stop_id_b,stop_name_b,stop_lat_b,stop_lon_b,parent_station_b,route_types_b,route_short_names_b,stop_sequences_by_route_b,common_route_types,common_route_short_names
80.35525706975953,9022005002303001,Södra allén,58.531399,15.045248,9021005002303000,700,303|304|612|613|614|620,303:10; 304:2; 612:2; 613:2; 614:2; 620:2,9022005003394002,Stjärnorpsgatan,58.532118,15.045387,9021005003394000,,,,,
80.83248822977534,9022005001262002,Ödegårdsgatan 24,58.396601,15.656189,9021005001262000,700,11|13,11:4; 13:5,9022005001392001,Braskens bro,58.397284,15.656664,9021005001392000,700,5|10|566,10:20; 5:20; 566:6,700,
82.26873933993323,9022005000046003,Trädgårdstorget,58.409399,15.624863,9021005000046000,700,1|2|4|5|10|11|13|14|15|16|17|18,1:11; 10:16; 11:3; 13:15; 14:9; 15:3; 16:21; 17:3; 18:3; 2:3; 4:3; 5:16,9022005000425002,Köpmansgränd,58.408933,15.62596,9021005000425000,,,,,
82.51480573444971,9022005000348002,Rimforsa riksväg 34,58.137987,15.680315,9021005000348000,700,39|540|546,39:4; 540:14; 546:16,9022005000369007,Rimforsa station,58.137261,15.680606,9021005000369000,,,,,
82.74285650421471,9022005001009006,Stortorget,58.586458,16.197283,9021005001009000,,,,9022005081011016,Gustaf Adolfsplan,58.586435,16.19871,9021005081011000,900,2,2:13,,
82.74285650421471,9022005001009006,Stortorget,58.586458,16.197283,9021005001009000,,,,9022005081011004,Gustaf Adolfsplan,58.586435,16.19871,9021005081011000,700,70|71|72|74|75|450|460|470|480|482|486,450:3; 460:36; 470:21; 480:24; 482:37; 486:12; 70:17; 71:18; 72:18; 74:10; 75:11,,
83.06438759318834,9022005001370002,Graversfors,58.692531,16.158841,9021005001370000,,,,9022005081036001,Näknakorset,58.693242,16.1584,9021005081036000,700,903,903:6,,
83.06438759318834,9022005001370002,Graversfors,58.692531,16.158841,9021005001370000,,,,9022005081036002,Näknakorset,58.693242,16.1584,9021005081036000,700,903,903:9,,
83.24717657672046,9022005001358002,Loddbyvägen,58.645863,16.163158,9021005001358000,700,10,10:7,9022005001597001,Kvillinge vägkors,58.645472,16.161931,9021005001597000,700,12,12:32,700,
83.72790586716914,9022005002316002,Landsborgsgatan,58.529675,15.046675,9021005002316000,700,303|304|614|620,303:10; 304:12; 614:32; 620:23,9022005002376002,Sveavägen,58.529549,15.045253,9021005002376000,700,612|613,612:17; 613:17,700,
83.82696466766183,9022005001237001,Ullevi,58.430021,15.584961,9021005001237000,700,26,26:22,9022005002528002,Lilla Ullevi,58.429763,15.586314,9021005002528000,700,520|521|522|616|620,520:43; 521:12; 522:19; 616:26; 620:42,700,
84.01580639960788,9022005000046006,Trädgårdstorget,58.40948,15.624965,9021005000046000,700,10|11|13|14|15|16|17|18,10:15; 11:11; 13:11; 14:20; 15:15; 16:8; 17:19; 18:10,9022005000425002,Köpmansgränd,58.408933,15.62596,9021005000425000,,,,,
84.74651194080377,9022005000994002,Graversfors 2,58.693712,16.157215,9021005000994000,700,903,903:6,9022005001370001,Graversfors,58.693251,16.158383,9021005001370000,,,,,
85.27884437394724,9022005001418002,Saab Södra,58.4005,15.658258,9021005001418000,700,16|21|30|52|74|185|530|539,16:16; 185:2; 21:5; 30:4; 52:20; 530:6; 539:6; 74:9,9022005005010002,Tannefors station,58.400412,15.659712,9021005005010000,,,,,
86.13426451387164,9022005000994002,Graversfors 2,58.693712,16.157215,9021005000994000,700,903,903:6,9022005081036001,Näknakorset,58.693242,16.1584,9021005081036000,700,903,903:6,700,903
86.13426451387164,9022005000994002,Graversfors 2,58.693712,16.157215,9021005000994000,700,903,903:6,9022005081036002,Näknakorset,58.693242,16.1584,9021005081036000,700,903,903:9,700,903
89.68400198566033,9022005001009001,Stortorget,58.5859,16.197552,9021005001009000,700,13,13:2,9022005081011004,Gustaf Adolfsplan,58.586435,16.19871,9021005081011000,700,70|71|72|74|75|450|460|470|480|482|486,450:3; 460:36; 470:21; 480:24; 482:37; 486:12; 70:17; 71:18; 72:18; 74:10; 75:11,700,
89.68400198566033,9022005001009001,Stortorget,58.5859,16.197552,9021005001009000,700,13,13:2,9022005081011016,Gustaf Adolfsplan,58.586435,16.19871,9021005081011000,900,2,2:13,,
90.45102311160241,9022005001009002,Stortorget,58.586044,16.197709,9021005001009000,700,13,13:11,9022005081011003,Gustaf Adolfsplan,58.586524,16.198969,9021005081011000,700,70|71|72|74|75|141|450|460|470|480|482|486,141:3; 450:7; 460:3; 470:2; 480:2; 482:2; 486:3; 70:2; 71:2; 72:2; 74:2; 75:2,700,
90.45102311160241,9022005001009002,Stortorget,58.586044,16.197709,9021005001009000,700,13,13:11,9022005081011017,Gustaf Adolfsplan,58.586524,16.198969,9021005081011000,900,2,2:16,,
90.86446958130709,9022005002316001,Landsborgsgatan,58.529505,15.046816,9021005002316000,700,303|304|614|620,303:11; 304:3; 614:3; 620:3,9022005002376002,Sveavägen,58.529549,15.045253,9021005002376000,700,612|613,612:17; 613:17,700,
92.05172755948264,9022005001262001,Ödegårdsgatan 24,58.396565,15.655881,9021005001262000,700,11|13,11:10; 13:20,9022005001392001,Braskens bro,58.397284,15.656664,9021005001392000,700,5|10|566,10:20; 5:20; 566:6,700,
92.65257551749215,9022005000257002,Östantorp,58.190307,16.012556,9021005000257000,700,287,287:2,9022005003435001,Koppargården,58.189489,16.012857,9021005003435000,700,287,287:33,700,287
92.75334695521363,9022005001009005,Stortorget,58.586799,16.19727,9021005001009000,,,,9022005081011016,Gustaf Adolfsplan,58.586435,16.19871,9021005081011000,900,2,2:13,,
92.75334695521363,9022005001009005,Stortorget,58.586799,16.19727,9021005001009000,,,,9022005081011004,Gustaf Adolfsplan,58.586435,16.19871,9021005081011000,700,70|71|72|74|75|450|460|470|480|482|486,450:3; 460:36; 470:21; 480:24; 482:37; 486:12; 70:17; 71:18; 72:18; 74:10; 75:11,,
93.83943703619646,9022005001259001,Barnhemsgatan,58.408931,15.612224,9021005001259000,700,3|6|232,232:4; 3:4; 6:4,9022005003848003,Länsstyrelsen,58.409522,15.611074,9021005003848000,,,,,
94.74496702985964,9022005001259001,Barnhemsgatan,58.408931,15.612224,9021005001259000,700,3|6|232,232:4; 3:4; 6:4,9022005003848004,Länsstyrelsen,58.409441,15.610921,9021005003848000,,,,,
96.61304967847292,9022005002556003,Sunnebotorget,58.20475,16.008354,9021005002556000,700,287,287:29,9022005003610001,Höjdvägen,58.204757,16.010003,9021005003610000,700,287,287:28,700,287
97.21497151047707,9022005000021016,Hageby centrum,58.572172,16.206817,9021005000021000,900,2,2:23,9022005000025002,"Hageby C, Lidaleden",58.573043,16.206672,9021005000025000,,,,,
97.31674216772547,9022005000436001,Saab Civila Porten,58.40111,15.67476,9021005000436000,700,52|74,52:1; 74:10,9022005001419001,Saab Civila,58.400328,15.67401,9021005001419000,700,16|21|30|185|530|539,16:12; 185:7; 21:2; 30:10; 530:31; 539:29,700,
97.98903024839969,9022005001009006,Stortorget,58.586458,16.197283,9021005001009000,,,,9022005081011003,Gustaf Adolfsplan,58.586524,16.198969,9021005081011000,700,70|71|72|74|75|141|450|460|470|480|482|486,141:3; 450:7; 460:3; 470:2; 480:2; 482:2; 486:3; 70:2; 71:2; 72:2; 74:2; 75:2,,
97.98903024839969,9022005001009006,Stortorget,58.586458,16.197283,9021005001009000,,,,9022005081011017,Gustaf Adolfsplan,58.586524,16.198969,9021005081011000,900,2,2:16,,
98.61825847642147,9022005000257001,Östantorp,58.190343,16.012403,9021005000257000,700,287,287:32,9022005003435001,Koppargården,58.189489,16.012857,9021005003435000,700,287,287:33,700,287
99.45849833967992,9022005000126017,Mjölby resecentrum,58.323197,15.131983,9021005000126000,100,81,81:1,9022005086001002,Magasinsgatan,58.324038,15.131403,9021005086001000,700,655|680,655:22; 680:32,,
101.16833545002793,9022005001261002,Ödegårdsgatan 11,58.397234,15.652407,9021005001261000,700,11|13,11:5; 13:6,9022005001392002,Braskens bro,58.397927,15.653532,9021005001392000,700,5|10|566,10:10; 5:8; 566:24,700,
101.70478624675505,9022005000126017,Mjölby resecentrum,58.323197,15.131983,9021005000126000,100,81,81:1,9022005086001001,Magasinsgatan,58.324046,15.131335,9021005086001000,700,655|680,655:2; 680:2,,
101.75536097918514,9022005000011001,Hörsalsparken,58.587921,16.188325,9021005000011000,,,,9022005000488001,Spiran,58.587116,16.18749,9021005000488000,700,10|12|13,10:15; 12:15; 13:20,,
101.98828796962991,9022005002556004,Sunnebotorget,58.204562,16.008302,9021005002556000,700,287,287:5,9022005003610001,Höjdvägen,58.204757,16.010003,9021005003610000,700,287,287:28,700,287
102.15310442534728,9022005001219001,Abisko,58.41502,15.607246,9021005001219000,700,1|520|521|522|572|616|620,1:6; 520:46; 521:15; 522:22; 572:35; 616:29; 620:45,9022005003849001,Abisko centrum,58.415736,15.606147,9021005003849000,700,14,14:5,700,
102.56029222126801,9022005001237002,Ullevi,58.42994,15.584585,9021005001237000,700,26,26:10,9022005002528002,Lilla Ullevi,58.429763,15.586314,9021005002528000,700,520|521|522|616|620,520:43; 521:12; 522:19; 616:26; 620:42,700,
103.10498259706655,9022005000011016,Hörsalsparken,58.58793,16.188342,9021005000011000,900,3,3:11,9022005000488001,Spiran,58.587116,16.18749,9021005000488000,700,10|12|13,10:15; 12:15; 13:20,,
103.1055576456729,9022005001009005,Stortorget,58.586799,16.19727,9021005001009000,,,,9022005081011003,Gustaf Adolfsplan,58.586524,16.198969,9021005081011000,700,70|71|72|74|75|141|450|460|470|480|482|486,141:3; 450:7; 460:3; 470:2; 480:2; 482:2; 486:3; 70:2; 71:2; 72:2; 74:2; 75:2,,
103.1055576456729,9022005001009005,Stortorget,58.586799,16.19727,9021005001009000,,,,9022005081011017,Gustaf Adolfsplan,58.586524,16.198969,9021005081011000,900,2,2:16,,
