stop_name,stop_ids,max_distance_m,example_stop_id_a,example_stop_id_b
Sjöhagen,2,178.3911776211503,9022005001745001,9022005001745002
Mjärdevi Center,3,177.99849299597017,9022005004232001,9022005004232002
Häradstorp,2,177.79752804115685,9022005000173002,9022005000173001
Ridhusgatan,2,177.0663158079255,9022005001231001,9022005001231002
Lönningehult,2,174.36682703985355,9022005002516002,9022005002516001
Ljungs-Säby,2,173.34184747690512,9022005002644001,9022005002644002
Tråbrunna,2,173.1996537140513,9022005001192002,9022005001192001
Fornåsa,2,172.4586878229822,9022005000362002,9022005000362001
Brårum,2,171.41403796488922,9022005001987001,9022005001987002
Torsåkravägen,2,170.97841281933145,9022005002507002,9022005002507001
Brokinds gård,2,169.67620917180543,9022005002679001,9022005002679002
Fröstorpsgatan,2,168.70365479624772,9022005000329002,9022005000329001
Mjärdevi,2,168.4992598149622,9022005004139001,9022005004139002
Ormestad,2,167.56303502603188,9022005001678002,9022005001678001
Gerstorpsvägen,2,167.35195407654462,9022005004051002,9022005004051001
Söder Tull,12,167.2069543801869,9022005000003010,9022005000003013
Lagerlunda allé,2,166.97396719619582,9022005002974001,9022005002974002
Freberga,2,166.79351418187508,9022005002393002,9022005002393001
Vårdsbergs kors,2,165.147953198124,9022005002648001,9022005002648002
Örbacka vägkors,2,164.46593876316254,9022005003164002,9022005003164001
Fridhemsvägen,2,162.44511739905735,9022005001489001,9022005001489002
Kråkvilan,2,161.25172830942407,9022005001056001,9022005001056002
Alorp södergård,2,161.1135543355612,9022005002820002,9022005002820001
Petersberg,2,160.96680433856935,9022005002573002,9022005002573001
Linneberg,2,160.00130103502258,9022005001828001,9022005001828002
Ortgatan,2,159.7036545157748,9022005001596001,9022005001596002
Herrborum,2,158.80998419459524,9022005002121002,9022005002121001
Löts vägkors,2,158.29971241823404,9022005004095001,9022005004095002
Bränntorp,2,157.42474060574753,9022005000249002,9022005000249001
Ullstorp,2,156.16082609645534,9022005001562001,9022005001562002
Sjögestad smedja,2,155.99758270316076,9022005002822002,9022005002822003
Evertsbyvägen,2,154.92139182876946,9022005002533002,9022005002533001
Motala Central,6,153.83376572222934,9022005000184026,9022005000184004
Rosenlund,2,152.84560493577504,9022005002144002,9022005002144001
Älgstigen,2,152.69631459817742,9022005001791002,9022005001791001
Klockrike vägkors,2,152.6523700045579,9022005003456002,9022005003456001
Degeröns vägkors,3,151.95821988568753,9022005003123001,9022005003123002
Höghultsvägen,2,150.74941511639128,9022005000280002,9022005000280001
Vätterngatan,2,150.71259948943222,9022005002410002,9022005002410001
Saab Civila,2,150.51592340200952,9022005001419002,9022005001419001
Lämmetorp,2,150.30055233433617,9022005002140002,9022005002140001
Kärnabrunnsgatan,2,149.9591754921837,9022005001452002,9022005001452001
Skolgårda skola,2,149.91705131525853,9022005002245002,9022005002245001
Länsstyrelsen,2,149.3228565060249,9022005003848002,9022005003848001
Sviestad,2,149.2718950467304,9022005080000001,9022005080000002
Kungsgatan,2,148.67516227173547,9022005001243001,9022005001243002
Ullälvavägen,2,146.80480054845813,9022005002721002,9022005002721001
Karlslund,2,146.6961175146838,9022005002408002,9022005002408001
Bro,2,146.59443286510677,9022005002505002,9022005002505001
Djurgårdsvägen,2,146.16747162953195,9022005002324002,9022005002324001
Brandebo,2,146.11268824891587,9022005003017002,9022005003017001
Vistinge,3,145.70812452934874,9022005000038002,9022005000038001
Konsert och Kongress,3,145.27456957110056,9022005000417001,9022005000417003
Nykyrka skola,2,144.9195389415639,9022005000366002,9022005000366001
Tungelunda,2,144.70471298491717,9022005003360002,9022005003360001
Vårdsbergs kyrka,2,143.88152390423278,9022005002647001,9022005002647002
Högbylyckan,2,143.85828260347316,9022005002788002,9022005002788001
Eneby centrum,4,143.81828395323637,9022005001003003,9022005001003004
Vinnerstads kyrka,2,142.59330871077944,9022005003163002,9022005003163001
Norr Tull,5,142.38576265487137,9022005000001004,9022005000001006
Slottet,2,142.19133190302233,9022005003155002,9022005003155001
Björneborg,2,142.16908049900994,9022005003112001,9022005003112002
Enebyvägen,2,142.0994627474041,9022005002506002,9022005002506001
Evelund,2,141.27521726788208,9022005003113001,9022005003113002
Dagsbergs kyrka,3,141.22787482013024,9022005001665003,9022005001665004
Olstorpsvägen,2,141.08293309043262,9022005001554001,9022005001554002
Ekenäsvägen,2,140.3185562080519,9022005002719002,9022005002719001
Lövsbergsvägen,2,140.3135843716058,9022005000226002,9022005000226001
Eda Gård,2,140.12275768579804,9022005005205001,9022005005205002
Grönevad,2,140.05017323590232,9022005001692002,9022005001692001
Drottningtorget,2,139.97943500051213,9022005001319001,9022005001319002
Falla Horn,2,139.90081433917808,9022005002359002,9022005002359001
Sikudden,2,139.7108643883326,9022005001615001,9022005001615002
Båtsholm,2,139.51195097130832,9022005002131002,9022005002131001
Djäkneparksskolan,6,138.6233414063801,9022005000002003,9022005000002004
Stationsgatan,3,138.58412469622837,9022005001323002,9022005001323003
Kullerstads kyrka,2,138.43790382812736,9022005002194001,9022005002194002
Gärstad,2,138.39564436402432,9022005000155001,9022005000155002
Nybygget,2,138.24130815924144,9022005003115001,9022005003115002
Gyllinge,2,138.07474733551445,9022005001680002,9022005001680001
Flistad brunn,2,137.42072264407102,9022005000344002,9022005000344001
Maspelösa gård,2,136.88142740382548,9022005003076002,9022005003076001
Ingesby,2,136.6489367124098,9022005003119001,9022005003119002
Blackstad,2,136.59489243978663,9022005003351002,9022005003351001
Ruda,2,136.3927262628227,9022005002778002,9022005002778001
Bråta vägkors,2,136.10640883357857,9022005001980001,9022005001980002
Torönsborg,2,136.05053828505416,9022005002126002,9022005002126001
Augumentet,2,134.74284622010228,9022005001825001,9022005001825002
Fläktebovägen,2,134.22924890413614,9022005002898002,9022005002898001
Kullerstadvägen,2,133.67185906047084,9022005001532001,9022005001532002
Anders Ljungstedts gy.,2,133.49923859282987,9022005000423002,9022005000423001
Tallebo,2,133.4134523653288,9022005002186001,9022005002186002
Talla,2,132.770328551571,9022005003121001,9022005003121002
Vadstugan,2,132.60550954539804,9022005000196002,9022005000196001
Hyttringe,2,132.42297434902957,9022005003156002,9022005003156001
Bockfall,2,132.10085360411074,9022005003114001,9022005003114002
"Hagvägen, Sonstorp",2,131.46913780856482,9022005062005001,9022005062005002
Hällevad,2,130.9762570330622,9022005002937002,9022005002937001
Lasarettet Lasarettsgatan,2,130.69187002742288,9022005002280001,9022005002280002
Tillmarstorp,2,130.54241473637595,9022005003160002,9022005003160001
Perstorp,2,130.49139651180622,9022005001936002,9022005001936001
Höckerum,2,130.31981887937238,9022005001975001,9022005001975002
Farsbo,2,130.29212068640112,9022005003048002,9022005003048001
Brunneby,2,129.5232393236171,9022005000293002,9022005000293001
Hejla,2,129.13146070724747,9022005000385004,9022005000385003
Tällstugan,2,129.01991165171032,9022005002899002,9022005002899001
Minkgatan,2,127.43767535040931,9022005003799001,9022005003799002
Roshagsvägen,2,126.97944279762996,9022005001433002,9022005001433001
Lustbacka,2,126.57090475433911,9022005002465002,9022005002465001
Skeda udde riksväg 34,2,126.34747923000383,9022005000350001,9022005000350002
Ryggsten,2,126.03674694570547,9022005003172001,9022005003172002
Snarbygget,2,125.71989448896208,9022005002852002,9022005002852001
Tävelstad,2,125.09178344282026,9022005002456002,9022005002456001
Södra Rothult,2,125.01551406692674,9022005002357002,9022005002357001
Linghems station,3,125.00477778346144,9022005000070004,9022005000070001
Hässlegatan,3,124.99176416900607,9022005000044001,9022005000044003
Landerydsvägen,2,124.70361627768568,9022005001421001,9022005001421002
Härna,2,124.52360283256117,9022005002635002,9022005002635001
Gölkullen,2,124.15652221622715,9022005003477002,9022005003477001
Quissbergs allé,2,124.01448669070176,9022005002401002,9022005002401001
Hagstigen,2,124.00086421361362,9022005002784002,9022005002784001
Tornby Park,2,123.87007456255924,9022005003974002,9022005003974001
Fillinge tingshus,2,123.66288300348765,9022005002657002,9022005002657001
Back,2,123.46167065191798,9022005002087002,9022005002087001
Rusthållaregården,3,123.04812129752747,9022005001236003,9022005001236002
Slätmon,2,122.96071048963847,9022005002461002,9022005002461001
Ekdalsvägen,2,122.85210137509112,9022005001394002,9022005001394001
Olofstorp,2,122.79860475640984,9022005002088002,9022005002088001
Ringarums centrum,2,121.81853424376375,9022005000147001,9022005000147002
Kollberg,2,121.61654907703688,9022005001937002,9022005001937001
Norsholms gård,2,121.30320069943951,9022005001505001,9022005001505002
Fogdegatan,2,121.20149205093789,9022005001240002,9022005001240001
