derived_transition_activity,old_trip_id,next_trip_id,old_route_short_name,next_route_short_name,route_short_name_changed,old_direction_id,next_direction_id,time_gap_minutes,old_last_stop_sequence,next_first_stop_sequence,old_last_stop_name,next_first_stop_name,old_last_stop_lat,old_last_stop_lon,transition_distance_m,transition_distance_km,threshold_m
repositioning_pause,tr03_5771,tr03_5799,11,11,False,1,1,,13,1,Övre Johannelund,Linköpings resecentrum,58.392293,15.665303,3720.4256282949696,3.7204256282949695,75
repositioning_pause,tr03_5772,tr03_5801,11,11,False,1,1,,13,1,Övre Johannelund,Linköpings resecentrum,58.392293,15.665303,3720.4256282949696,3.7204256282949695,75
repositioning_pause,tr03_5799,tr03_5800,11,11,False,1,1,,13,1,Övre Johannelund,Linköpings resecentrum,58.392293,15.665303,3720.4256282949696,3.7204256282949695,75
repositioning_pause,tr03_5834,tr03_5836,11,11,False,0,0,,13,1,Linköpings resecentrum,Övre Johannelund,58.417441,15.623179,3720.4256282949696,3.7204256282949695,75
repositioning_pause,tr03_5835,tr03_5837,11,11,False,0,0,,13,1,Linköpings resecentrum,Övre Johannelund,58.417441,15.623179,3720.4256282949696,3.7204256282949695,75
repositioning_pause,tr03_5836,tr03_5849,11,11,False,0,0,,13,1,Linköpings resecentrum,Övre Johannelund,58.417441,15.623179,3720.4256282949696,3.7204256282949695,75
repositioning_pause,tr03_5840,tr03_5893,11,11,False,0,0,,13,1,Linköpings resecentrum,Övre Johannelund,58.417441,15.623179,3720.4256282949696,3.7204256282949695,75
repositioning_pause,tr03_5849,tr03_5851,11,11,False,0,0,,13,1,Linköpings resecentrum,Övre Johannelund,58.417441,15.623179,3720.4256282949696,3.7204256282949695,75
repositioning_pause,tr03_5850,tr03_5878,11,11,False,0,0,,13,1,Linköpings resecentrum,Övre Johannelund,58.417441,15.623179,3720.4256282949696,3.7204256282949695,75
repositioning_pause,tr03_5851,tr03_5853,11,11,False,0,0,,13,1,Linköpings resecentrum,Övre Johannelund,58.417441,15.623179,3720.4256282949696,3.7204256282949695,75
repositioning_pause,tr03_5853,tr03_5877,11,11,False,0,0,,13,1,Linköpings resecentrum,Övre Johannelund,58.417441,15.623179,3720.4256282949696,3.7204256282949695,75
repositioning_pause,tr03_5872,tr03_5898,11,11,False,0,0,32.46666666666667,13,1,Linköpings resecentrum,Övre Johannelund,58.417441,15.623179,3720.4256282949696,3.7204256282949695,75
repositioning_pause,tr03_5877,tr03_5915,11,11,False,0,0,,13,1,Linköpings resecentrum,Övre Johannelund,58.417441,15.623179,3720.4256282949696,3.7204256282949695,75
repositioning_pause,tr03_5890,tr03_5844,11,11,False,0,0,64.73333333333333,13,1,Linköpings resecentrum,Övre Johannelund,58.417441,15.623179,3720.4256282949696,3.7204256282949695,75
