pair_rank,distance_m,stop_id_a,stop_name_a,stop_id_b,stop_name_b,trip_id,route_id,route_short_name,route_type,direction_id,stop_sequence_a,stop_sequence_b,sequence_relation
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074072354,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074072390,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074072426,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074072462,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074072498,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074072534,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074072606,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074072642,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074072714,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074072786,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074072822,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074072860,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074072896,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074072932,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074072969,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073005,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073041,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073077,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073113,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073149,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073383,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073419,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073455,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073491,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073527,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073563,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073599,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073635,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073671,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073707,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073743,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073779,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073815,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073851,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073887,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073923,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073959,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074073995,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074031,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074067,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074103,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074139,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074175,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074211,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074247,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074283,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074319,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074355,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074391,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074427,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074463,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074499,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074535,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074571,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074607,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074643,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074679,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074715,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074751,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074787,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074823,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074859,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074895,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074931,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074074967,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075003,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075039,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075079,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075115,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075151,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075187,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075223,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075259,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075295,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075331,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075367,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075403,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075439,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075475,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075511,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075563,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075599,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075635,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075671,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075707,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075743,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075779,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075815,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075851,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075887,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075923,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075959,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000074075995,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000077429955,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000077430023,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000077430091,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000082390547,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000082390598,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700000082390635,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700100074072822,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700100074075003,9011005021000000,10,700,0,13,12,B before A
47,120.10907961840088,9022005000423001,Anders Ljungstedts gy.,9022005001458002,Stångebro,55700100074075039,9011005021000000,10,700,0,13,12,B before A
51,130.78453265289355,9022005002556004,Sunnebotorget,9022005003610002,Höjdvägen,55700000075364772,9011005028700000,287,700,1,5,6,A before B
51,130.78453265289355,9022005002556004,Sunnebotorget,9022005003610002,Höjdvägen,55700000075364814,9011005028700000,287,700,1,5,6,A before B
51,130.78453265289355,9022005002556004,Sunnebotorget,9022005003610002,Höjdvägen,55700000075364856,9011005028700000,287,700,1,5,6,A before B
51,130.78453265289355,9022005002556004,Sunnebotorget,9022005003610002,Höjdvägen,55700000075364898,9011005028700000,287,700,1,5,6,A before B
51,130.78453265289355,9022005002556004,Sunnebotorget,9022005003610002,Höjdvägen,55700000075364940,9011005028700000,287,700,1,5,6,A before B
51,130.78453265289355,9022005002556004,Sunnebotorget,9022005003610002,Höjdvägen,55700100075364772,9011005028700000,287,700,1,5,6,A before B
51,130.78453265289355,9022005002556004,Sunnebotorget,9022005003610002,Höjdvägen,55700100075364814,9011005028700000,287,700,1,5,6,A before B
51,130.78453265289355,9022005002556004,Sunnebotorget,9022005003610002,Höjdvägen,55700100075364856,9011005028700000,287,700,1,5,6,A before B
60,136.56285689284977,9022005001712002,Tornbyvägen,9022005081027002,Styrstad Äppelbo,55700000083039072,9011005090100000,901,700,0,11,10,B before A
60,136.56285689284977,9022005001712002,Tornbyvägen,9022005081027002,Styrstad Äppelbo,55700000083039099,9011005090100000,901,700,0,11,10,B before A
63,137.17847537192722,9022005000255001,Eksätter,9022005003614001,Långbrottsskolan,55700000075364991,9011005028700000,287,700,0,33,32,B before A
63,137.17847537192722,9022005000255001,Eksätter,9022005003614001,Långbrottsskolan,55700000075365033,9011005028700000,287,700,0,33,32,B before A
63,137.17847537192722,9022005000255001,Eksätter,9022005003614001,Långbrottsskolan,55700000075365075,9011005028700000,287,700,0,33,32,B before A
63,137.17847537192722,9022005000255001,Eksätter,9022005003614001,Långbrottsskolan,55700000075365117,9011005028700000,287,700,0,33,32,B before A
63,137.17847537192722,9022005000255001,Eksätter,9022005003614001,Långbrottsskolan,55700000075365159,9011005028700000,287,700,0,33,32,B before A
63,137.17847537192722,9022005000255001,Eksätter,9022005003614001,Långbrottsskolan,55700100075364991,9011005028700000,287,700,0,33,32,B before A
63,137.17847537192722,9022005000255001,Eksätter,9022005003614001,Långbrottsskolan,55700100075365033,9011005028700000,287,700,0,33,32,B before A
63,137.17847537192722,9022005000255001,Eksätter,9022005003614001,Långbrottsskolan,55700100075365075,9011005028700000,287,700,0,33,32,B before A
64,139.04183949448424,9022005003827001,Sparbanken,9022005004195001,Storgatan 35,55700000083066894,9011005067000000,670,700,1,33,34,A before B
64,139.04183949448424,9022005003827001,Sparbanken,9022005004195001,Storgatan 35,55700000083066940,9011005067000000,670,700,1,33,34,A before B
64,139.04183949448424,9022005003827001,Sparbanken,9022005004195001,Storgatan 35,55700000083066986,9011005067000000,670,700,1,33,34,A before B
